"","video","Bias","positive","negative","sentiment","lgpp","nrc_el","topic"
"61722","9yUrHf0vzSc","",16,12,"positive","CULTURE","joy","economy"
"61724","9ybYrQgeCUs","",449,125,"positive","VALUES","joy","politics"
"61725","9ygXLnRAm-A","",NA,NA,NA,NA,NA,NA
"61726","9ymUvopR_Fc","",NA,NA,NA,NA,NA,NA
"61727","9ys5VWI29R8","C",NA,NA,NA,NA,NA,NA
"61744","9ysbHw_x9uM","",NA,NA,NA,NA,NA,NA
"61746","9yzgEU2L7AE","",NA,NA,NA,NA,NA,NA
"61752","9z2VJxOIs88","",94,40,"positive","ECONOMY","anticipation","military"
"61754","9z88fRMGgEs","R",NA,NA,NA,NA,NA,NA
"61755","9zBCeS7wf7w","",9,4,"positive","INSTITUTIONS","negative","politics"
"61760","9zDqmedFE_Q","C",98,57,"positive","ECONOMY","sadness","society"
"61762","9zJzPak4eBk","",734,218,"positive","ECONOMY","positive","economy"
"61771","9zLheLmPwHM","",224,180,"positive","LAW_AND_ORDER","fear","politics"
"61772","9zY2558He3c","",NA,NA,NA,NA,NA,NA
"61773","9zmgjG3Wtn0","",234,258,"negative","GROUPS","fear","military"
"61774","9zsyERvnLjU","",NA,NA,NA,NA,NA,NA
"61775","9zxsC68PJUI","",NA,NA,NA,NA,NA,NA
"61777","9zyqcuQVafk","C",109,40,"positive","GROUPS","joy","military"
"61780","9zzUNMKSn2E","",99,70,"positive","INSTITUTIONS","anger","military"
"61781","A-3yN2ePJwk","LC",245,103,"positive","CULTURE","joy","economy"
"61849","A-4dIImaodQ","LC",119,128,"negative","INSTITUTIONS","sadness","politics"
"61859","A-4suqRMdO0","",NA,NA,NA,NA,NA,NA
"61860","A-7yZX-4qQA","RC",134,31,"positive","ECONOMY","negative","economy"
"61862","A-CMp9uHICM","",NA,NA,NA,NA,NA,NA
"61863","A-DCRFjJ4Pw","",NA,NA,NA,NA,NA,NA
"61868","A-I84Sh17js","",24,17,"positive","ENVIRONMENT","sadness","society"
"61869","A-IquPEh2m8","L",3,3,"positive","URBAN","anticipation","diplomacy"
"61894","A-OvJjAw2Jo","C",399,414,"negative","GROUPS","negative","military"
"61899","A-RLivkA5X4","",NA,NA,NA,NA,NA,NA
"61900","A-V971Q0RWM","",NA,NA,NA,NA,NA,NA
"61901","A-W44CZYBfk","",152,68,"positive","CULTURE","joy","economy"
"61902","A-XlyB_QQYs","LC",104,103,"positive","INSTITUTIONS","trust","politics"
"61911","A-Y9nPMooOg","",41,4,"positive","URBAN","joy","economy"
"61912","A-ZvzM_odBw","",6,9,"negative","VALUES","negative","politics"
"61913","A-gHfY4COm4","",203,46,"positive","RURAL","negative","military"
"61916","A-hn5pHK1Qk","",41,13,"positive","CULTURE","anticipation","politics"
"61917","A-i_K1rrlek","",NA,NA,NA,NA,NA,NA
"61919","A-iqdjUVbJk","LC",NA,NA,NA,NA,NA,NA
"61921","A-pPmdNQavk","",NA,NA,NA,NA,NA,NA
"61922","A-pmh70cZu4","",330,165,"positive","RURAL","fear","military"
"61923","A-pntIpW-rI","",NA,NA,NA,NA,NA,NA
"61924","A0-oGmnL7lc","",NA,NA,NA,NA,NA,NA
"61926","A00fuaWWQhU","RC",32,26,"positive","INSTITUTIONS","anger","politics"
"61934","A08EsPNIhKA","",683,218,"positive","LAW_AND_ORDER","positive","military"
"61935","A0ItpbPWEgA","",320,158,"positive","ENVIRONMENT","negative","diplomacy"
"61937","A0MYr3IqZAY","",57,29,"positive","CULTURE","anticipation","military"
"61968","A0OXRzk5K14","",NA,NA,NA,NA,NA,NA
"61969","A0QkGThnKNQ","",NA,NA,NA,NA,NA,NA
"61971","A0RbcbqUNmo","C",128,42,"positive","ENVIRONMENT","joy","society"
"61975","A0WTamyFE8o","",NA,NA,NA,NA,NA,NA
"61976","A0XCOInQw6Y","",NA,NA,NA,NA,NA,NA
"61978","A0q9hn8hebw","C",NA,NA,NA,NA,NA,NA
"61979","A0qt0hdCQtg","",NA,NA,NA,NA,NA,NA
"61980","A0rvRF8BKGo","",NA,NA,NA,NA,NA,NA
"61984","A19R2mJPP9w","",NA,NA,NA,NA,NA,NA
"62001","A1AGe2V0qHo","",NA,NA,NA,NA,NA,NA
"62002","A1AUdaH-EPM","C",86,63,"positive","ENVIRONMENT","sadness","society"
"62010","A1KSvTboNgA","",1389,601,"positive","ENVIRONMENT","disgust","economy"
"62042","A1M2OvvNT5U","",91,42,"positive","URBAN","surprise","diplomacy"
"62044","A1M9VSgsSW4","",376,194,"positive","ECONOMY","surprise","economy"
"62047","A1RrbexZ5LY","",NA,NA,NA,NA,NA,NA
"62048","A1Vq5jRI8hU","",NA,NA,NA,NA,NA,NA
"62049","A1_lCe3vyyc","",89,45,"positive","ECONOMY","sadness","economy"
"62051","A1_lVl75MJk","",67,4,"positive","RURAL","anticipation","military"
"62058","A1gbZ2WwRxc","",NA,NA,NA,NA,NA,NA
"62059","A1kuaEuLX78","",NA,NA,NA,NA,NA,NA
"62060","A1mGUVtdoow","",421,153,"positive","INSTITUTIONS","trust","diplomacy"
"62061","A1nRoxkldL4","",NA,NA,NA,NA,NA,NA
"62062","A1q41h7beQY","",24,13,"positive","VALUES","joy","politics"
"62063","A1s8eMpnxOU","",NA,NA,NA,NA,NA,NA
"62068","A1sasglxDPs","",NA,NA,NA,NA,NA,NA
"62069","A1uNvJMjhEc","",NA,NA,NA,NA,NA,NA
"62071","A1xMxv4OLpY","",NA,NA,NA,NA,NA,NA
"62072","A24rY7o68W0","",NA,NA,NA,NA,NA,NA
"62075","A27QjpQ_Ieo","C",90,34,"positive","GROUPS","negative","military"
"62077","A2JCoIGyGxc","",39,19,"positive","URBAN","anticipation","diplomacy"
"62081","A2M3keyXX_Q","",NA,NA,NA,NA,NA,NA
"62085","A2M_psaG1ew","",NA,NA,NA,NA,NA,NA
"62086","A2ZSJHV9X1Y","",472,520,"negative","GROUPS","joy","military"
"62087","A2aBKnr3Ep4","C",139,69,"positive","ECONOMY","sadness","economy"
"62089","A2cs8f5oDdQ","RC",25,4,"positive","INSTITUTIONS","trust","politics"
"62095","A2hoDwuV6Io","",NA,NA,NA,NA,NA,NA
"62097","A2ka35UuuqA","LC",NA,NA,NA,NA,NA,NA
"62101","A2kjYnmFv0U","",NA,NA,NA,NA,NA,NA
"62102","A2sCy0sva8U","",307,73,"positive","GROUPS","joy","military"
"62103","A2tyXZmj2Ew","LC",161,129,"positive","INSTITUTIONS","trust","economy"
"62105","A2wG0sXbMhw","",NA,NA,NA,NA,NA,NA
"62106","A2ywvsRPMYY","",NA,NA,NA,NA,NA,NA
"62108","A311CnTjfos","",24,20,"positive","VALUES","anticipation","society"
"62109","A33z9eomcr0","",NA,NA,NA,NA,NA,NA
"62110","A343tlP5iUA","C",157,94,"positive","VALUES","positive","society"
"62111","A34_6N6F2Y0","",NA,NA,NA,NA,NA,NA
"62113","A38TGwiSGu0","",31,13,"positive","INSTITUTIONS","trust","economy"
"62114","A3Kj69AEW2A","",NA,NA,NA,NA,NA,NA
"62115","A3RfB6AF944","",NA,NA,NA,NA,NA,NA
"62117","A3nrcF1nFYY","",NA,NA,NA,NA,NA,NA
"62118","A40dub6Fcvw","",NA,NA,NA,NA,NA,NA
"62119","A468P2u2_b0","",NA,NA,NA,NA,NA,NA
"62135","A4A39njpWDA","",447,245,"positive","VALUES","joy","politics"
"62136","A4C4L0pCFZM","",NA,NA,NA,NA,NA,NA
"62137","A4Jq_tjjS4o","L",35,64,"negative","CULTURE","joy","economy"
"62138","A4NuOvSnjWc","LC",813,380,"positive","INSTITUTIONS","trust","politics"
"62139","A4OmF2wqQfw","",55,41,"positive","GROUPS","joy","military"
"62140","A4OwQvgH4s4","LC",NA,NA,NA,NA,NA,NA
"62141","A4QSvd2k1rQ","LC",309,241,"positive","INSTITUTIONS","trust","politics"
"62147","A4XvEAUq8f8","",70,19,"positive","GROUPS","trust","economy"
"62152","A4gVxvYFA3M","L",66,19,"positive","CULTURE","joy","economy"
"62157","A4lPA6VjyGs","LC",NA,NA,NA,NA,NA,NA
"62158","A4or7UP2ynU","",993,551,"positive","GROUPS","joy","military"
"62159","A4xVjpqGRKs","",NA,NA,NA,NA,NA,NA
"62160","A51-BOC6DBo","",242,75,"positive","CULTURE","joy","economy"
"62161","A53bsLvomLs","",NA,NA,NA,NA,NA,NA
"62167","A5C9zaj0qfc","LC",NA,NA,NA,NA,NA,NA
"62169","A5FRK1DU9yg","LC",31,0,"positive","ECONOMY","anticipation","society"
"62181","A5QFiZ77l0M","",49,38,"positive","RURAL","anger","military"
"62182","A5Tt4wobkB4","",108,12,"positive","URBAN","surprise","economy"
"62183","A5Ya78jdtXA","C",352,196,"positive","VALUES","joy","politics"
"62185","A5dE25ANU0k","C",73,48,"positive","ENVIRONMENT","negative","diplomacy"
"62229","A5jUK1EkX_M","",NA,NA,NA,NA,NA,NA
"62230","A5nQZ7_ApM4","C",61,24,"positive","LAW_AND_ORDER","fear","military"
"62231","A5ufAs7nKMc","",NA,NA,NA,NA,NA,NA
"62232","A62_fGkoqao","",NA,NA,NA,NA,NA,NA
"62233","A6DjPlEciWA","",941,495,"positive","GROUPS","negative","military"
"62237","A6Dkt7zyImk","C",84,37,"positive","ENVIRONMENT","disgust","diplomacy"
"62255","A6J9p4iOr3A","",NA,NA,NA,NA,NA,NA
"62256","A6JcTKMTPNg","",NA,NA,NA,NA,NA,NA
"62257","A6Kg4SOPHlk","",108,22,"positive","CULTURE","disgust","society"
"62259","A6Prtgjw6uA","",557,186,"positive","CULTURE","joy","economy"
"62264","A6T9R-cjXc0","LC",64,56,"positive","RURAL","fear","military"
"62266","A6VxOfyra0w","L",8,4,"positive","ECONOMY","trust","politics"
"62275","A6ZVVZiixTA","",NA,NA,NA,NA,NA,NA
"62276","A6_rfK-Hyok","",NA,NA,NA,NA,NA,NA
"62277","A6atqabfxYk","",97,22,"positive","ENVIRONMENT","disgust","diplomacy"
"62278","A6eupBe1c6I","",208,242,"negative","VALUES","joy","politics"
"62279","A6g_geYeL4U","",NA,NA,NA,NA,NA,NA
"62280","A6iMltzlVhg","",NA,NA,NA,NA,NA,NA
"62282","A6lLYpx05Gs","",576,223,"positive","CULTURE","joy","society"
"62286","A6lpgUvfAvE","LC",6,21,"negative","ECONOMY","surprise","economy"
"62294","A6nmP8CgK14","",94,83,"positive","LAW_AND_ORDER","anticipation","military"
"62295","A6o-BRYHvPk","LC",NA,NA,NA,NA,NA,NA
"62299","A6ub1I0pLjY","",87,33,"positive","ENVIRONMENT","disgust","diplomacy"
"62300","A700s47V0hQ","",NA,NA,NA,NA,NA,NA
"62301","A73HQwEct-o","",NA,NA,NA,NA,NA,NA
"62302","A7GPITvajBo","",NA,NA,NA,NA,NA,NA
"62303","A7KVnFDrTjo","",NA,NA,NA,NA,NA,NA
"62304","A7RqTGXvOIs","",61,35,"positive","ECONOMY","surprise","diplomacy"
"62305","A7Tzbu2xJnc","",755,423,"positive","INSTITUTIONS","trust","politics"
"62307","A7_mVCb2mnc","",445,211,"positive","LAW_AND_ORDER","fear","military"
"62308","A7gLC4l5Nmo","LC",40,8,"positive","VALUES","fear","military"
"62309","A7gdZDYH2gM","LC",13,25,"negative","LAW_AND_ORDER","trust","politics"
"62315","A7jOqYWJUKg","",NA,NA,NA,NA,NA,NA
"62316","A7kb2kn9fZs","",335,265,"positive","GROUPS","joy","society"
"62319","A7l8ZfYFjWA","C",45,54,"negative","LAW_AND_ORDER","sadness","politics"
"62348","A7otXqHboWw","",NA,NA,NA,NA,NA,NA
"62349","A7qX5W7KhrY","LC",NA,NA,NA,NA,NA,NA
"62350","A7yByBOJbiw","",546,126,"positive","CULTURE","joy","society"
"62351","A84MgzOtOLA","",271,98,"positive","GROUPS","disgust","politics"
"62352","A8AhlWi6PQI","",NA,NA,NA,NA,NA,NA
"62353","A8BFnFRyhFY","",NA,NA,NA,NA,NA,NA
"62354","A8BInfbcgFg","",177,111,"positive","LAW_AND_ORDER","negative","military"
"62356","A8Gv-Zfl8EU","",42,22,"positive","URBAN","joy","society"
"62358","A8LRxIANzQs","",NA,NA,NA,NA,NA,NA
"62359","A8N4_cjLXH8","",NA,NA,NA,NA,NA,NA
"62361","A8UNKM6gu1I","",NA,NA,NA,NA,NA,NA
"62363","A8VPwJkoqhc","L",64,17,"positive","CULTURE","surprise","economy"
"62381","A8jMk9IYBBc","",180,49,"positive","ECONOMY","trust","politics"
"62382","A8lszYmDZdI","",83,63,"positive","CULTURE","surprise","society"
"62383","A8pBe1Zbd3Y","",20,4,"positive","ENVIRONMENT","positive","diplomacy"
"62385","A8wJc7vHcTs","L",NA,NA,NA,NA,NA,NA
"62390","A8xE1LPhP84","",778,531,"positive","URBAN","sadness","society"
"62394","A93R5ZUh0xM","",NA,NA,NA,NA,NA,NA
"62395","A9FopgKyAfI","",373,201,"positive","VALUES","negative","economy"
"62405","A9H9Gc1hA88","",NA,NA,NA,NA,NA,NA
"62406","A9OTJlUUszo","",NA,NA,NA,NA,NA,NA
"62413","A9PVubbEIm0","",105,130,"negative","ENVIRONMENT","disgust","diplomacy"
"62415","A9Zp6DxXOdY","",114,44,"positive","CULTURE","joy","society"
"62417","A9cbg7hbtHY","",59,88,"negative","RURAL","anticipation","military"
"62427","A9erviThoxA","LC",NA,NA,NA,NA,NA,NA
"62434","A9fQPzZ1-hg","C",NA,NA,NA,NA,NA,NA
"62440","A9kQBAH1nK4","C",163,38,"positive","LAW_AND_ORDER","positive","society"
"62441","A9rh3lqdtT0","",72,33,"positive","RURAL","joy","politics"
"62442","A9tKncAdlHQ","",32,29,"positive","CULTURE","anticipation","diplomacy"
"62448","AA61RUwf0hw","",NA,NA,NA,NA,NA,NA
"62449","AAFWeIp8JT0","C",95,75,"positive","URBAN","surprise","diplomacy"
"62451","AAGIi62-sAU","",264,393,"negative","INSTITUTIONS","negative","economy"
"62483","AAJ-IlqB_tc","",NA,NA,NA,NA,NA,NA
"62484","AAJTkL99anI","",74,30,"positive","ECONOMY","sadness","economy"
"62485","AALsNV-iGl0","",NA,NA,NA,NA,NA,NA
"62486","AAPApK2xTx4","LC",18,12,"positive","URBAN","anger","politics"
"62519","AAPi7BF681g","LC",43,55,"negative","LAW_AND_ORDER","fear","society"
"62523","AARR_JLUzeU","LC",12,20,"negative","LAW_AND_ORDER","trust","politics"
"62525","AAX54FUeRU8","",NA,NA,NA,NA,NA,NA
"62527","AAYJQT_7nJo","",12,6,"positive","CULTURE","disgust","society"
"62528","AAZ26yQxQjo","",NA,NA,NA,NA,NA,NA
"62530","AAeGQKVMyMY","",56,53,"positive","CULTURE","joy","society"
"62533","AAfsZtSFwwg","",60,8,"positive","GROUPS","joy","society"
"62534","AAkEYcmCCCk","C",127,81,"positive","RURAL","disgust","diplomacy"
"62536","AAlY_kUtkpE","",NA,NA,NA,NA,NA,NA
"62537","AAmJcQzUCds","",22,18,"positive","CULTURE","disgust","society"
"62538","AApU5dbra7k","",NA,NA,NA,NA,NA,NA
"62539","AAq9J1GCaos","",285,105,"positive","ECONOMY","sadness","politics"
"62544","AAvLC3fz068","",NA,NA,NA,NA,NA,NA
"62545","AB6yM9puTY0","LC",60,104,"negative","ECONOMY","sadness","economy"
"62548","ABEFa0ynZt0","L",558,118,"positive","CULTURE","joy","economy"
"62549","ABJQI8spi04","",NA,NA,NA,NA,NA,NA
"62550","ABQDBz4LH68","",108,171,"negative","VALUES","joy","politics"
"62552","ABR4KgXoZPE","LC",NA,NA,NA,NA,NA,NA
"62558","ABSuJ92J7Ws","",NA,NA,NA,NA,NA,NA
"62560","ABTdTTnnEU8","",NA,NA,NA,NA,NA,NA
"62561","ABWNHTURRmk","",NA,NA,NA,NA,NA,NA
"62564","ABfQuZqq8wg","",NA,NA,NA,NA,NA,NA
"62565","ABijrAwUv_c","LC",NA,NA,NA,NA,NA,NA
"62566","ABmJyQ0NIdU","",127,47,"positive","LAW_AND_ORDER","negative","military"
"62568","ABpd7RF-BVs","",87,8,"positive","CULTURE","joy","economy"
"62569","AByZ0bd8bWQ","",11,4,"positive","GROUPS","joy","military"
"62570","AC0ITS4WaTE","",890,449,"positive","VALUES","fear","politics"
"62571","ACAIasysHj4","",235,84,"positive","VALUES","positive","politics"
"62572","ACBDe1obhkM","",NA,NA,NA,NA,NA,NA
"62573","ACG9pwtKtjQ","LC",79,53,"positive","INSTITUTIONS","trust","politics"
"62574","ACGdA0FeLkg","",NA,NA,NA,NA,NA,NA
"62577","ACI1dfTrf0c","",NA,NA,NA,NA,NA,NA
"62579","ACMA_-FtZ0Q","",NA,NA,NA,NA,NA,NA
"62580","ACNhHTqIVqk","",NA,NA,NA,NA,NA,NA
"62617","ACVM1BUY8tY","LC",NA,NA,NA,NA,NA,NA
"62619","ACYHERGmais","",NA,NA,NA,NA,NA,NA
"62622","ACbmLRWxA3g","",80,201,"negative","ENVIRONMENT","disgust","diplomacy"
"62623","ADIiPyaqyaA","",NA,NA,NA,NA,NA,NA
"62624","ADQ2MWtollQ","",365,178,"positive","ECONOMY","sadness","economy"
"62625","ADZ9VF3CVz8","",456,85,"positive","ECONOMY","trust","economy"
"62626","ADiql3FG5is","",134,65,"positive","CULTURE","anticipation","diplomacy"
"62705","ADm5_sZKTVs","",NA,NA,NA,NA,NA,NA
"62706","ADuWsYOFjfo","",120,114,"positive","ENVIRONMENT","disgust","economy"
"62707","ADviv0DN2C4","",21,6,"positive","CULTURE","joy","economy"
"62714","AE-FB5EwZqc","",NA,NA,NA,NA,NA,NA
"62718","AE1GKcL3NuI","",205,48,"positive","RURAL","surprise","diplomacy"
"62724","AE3zYAdQgtw","",57,47,"positive","RURAL","anticipation","military"
"62729","AEDAGeGC5yg","",NA,NA,NA,NA,NA,NA
"62731","AERnqqWPkCk","LC",64,46,"positive","INSTITUTIONS","trust","politics"
"62732","AETQBxAIOoE","",522,370,"positive","VALUES","trust","society"
"62733","AE_VL1lajr4","",NA,NA,NA,NA,NA,NA
"62735","AEdKqDZn3Bs","L",NA,NA,NA,NA,NA,NA
"62736","AEgfSXhehsU","",NA,NA,NA,NA,NA,NA
"62737","AEotwCGwI2E","C",161,139,"positive","VALUES","sadness","society"
"62738","AEqZQQACbvM","",NA,NA,NA,NA,NA,NA
"62739","AEq_L4gZNPg","",NA,NA,NA,NA,NA,NA
"62740","AErpXJq67LM","LC",NA,NA,NA,NA,NA,NA
"62750","AEvv9pUQt6g","",NA,NA,NA,NA,NA,NA
"62751","AF2HXId2Xhg","",630,208,"positive","ECONOMY","surprise","diplomacy"
"62767","AFFNWoJ2LOM","",NA,NA,NA,NA,NA,NA
"62768","AFIxi7BiScI","LC",228,114,"positive","ECONOMY","surprise","economy"
"62808","AFSUQ9DINi8","",NA,NA,NA,NA,NA,NA
"62810","AFUyGl8NtEg","",NA,NA,NA,NA,NA,NA
"62811","AFV3wIRUNDw","",NA,NA,NA,NA,NA,NA
"62814","AF_DUdrXUoQ","LC",67,27,"positive","VALUES","joy","politics"
"62815","AFaSCOqumpM","",NA,NA,NA,NA,NA,NA
"62816","AFenYt1aQhc","",16,22,"negative","VALUES","sadness","society"
"62817","AFfPkWdVs0I","",691,354,"positive","GROUPS","joy","society"
"62819","AFg-_3Txcxo","",41,6,"positive","RURAL","trust","economy"
"62820","AFhOzhe9mg4","",46,29,"positive","URBAN","surprise","diplomacy"
"62821","AFllLB6yQrU","",NA,NA,NA,NA,NA,NA
"62827","AFoOZ4z-_ZA","",NA,NA,NA,NA,NA,NA
"62828","AFw8MSF7yE4","",13,10,"positive","RURAL","fear","military"
"62830","AFxCO_DyzYM","LC",76,34,"positive","URBAN","joy","society"
"62856","AG1Vk-1Jplw","R",14,18,"negative","INSTITUTIONS","trust","politics"
"62858","AG79FkN7EPk","",261,105,"positive","CULTURE","anticipation","economy"
"62860","AGD0zW-hfnI","",395,127,"positive","GROUPS","anger","politics"
"62866","AGDT6OXhCpw","",NA,NA,NA,NA,NA,NA
"62870","AGELqqSx_TU","",98,95,"positive","VALUES","negative","economy"
"62871","AGNTikpsUds","L",NA,NA,NA,NA,NA,NA
"62872","AGRGLh1FyyQ","C",121,51,"positive","VALUES","joy","society"
"62873","AGZquUAgGVI","",NA,NA,NA,NA,NA,NA
"62878","AGbZlgXq9hc","",NA,NA,NA,NA,NA,NA
"62879","AGi8jSGpr5U","",16,7,"positive","CULTURE","surprise","economy"
"62880","AGt8_TF9GeY","",338,156,"positive","ECONOMY","surprise","economy"
"62884","AHHwXUm3iIg","",NA,NA,NA,NA,NA,NA
"62889","AHIPcSvsWJg","",NA,NA,NA,NA,NA,NA
"62890","AHLOEjxWy68","LC",44,14,"positive","URBAN","joy","society"
"62897","AHM_eWl3ICA","",217,49,"positive","RURAL","disgust","diplomacy"
"62901","AHRM_QNvp9E","LC",187,46,"positive","URBAN","joy","society"
"62906","AHUmVmrAQD0","",NA,NA,NA,NA,NA,NA
"62912","AHY8Yjdc2Zk","",NA,NA,NA,NA,NA,NA
"62913","AHb-q-mWc8w","",NA,NA,NA,NA,NA,NA
"62920","AHcE4E-pf9U","",NA,NA,NA,NA,NA,NA
"62921","AHfeac0IxKQ","",91,11,"positive","GROUPS","joy","society"
"62924","AHgL8fZbaq0","",NA,NA,NA,NA,NA,NA
"62925","AHlFcQ0OF8g","",NA,NA,NA,NA,NA,NA
"62927","AHlVL1K3dLk","LC",226,144,"positive","GROUPS","anger","society"
"62928","AHuj4DCueO4","",131,73,"positive","RURAL","surprise","diplomacy"
"62930","AHvLuhjfAyA","",146,124,"positive","ENVIRONMENT","anticipation","society"
"62931","AHwFaa1WZnA","",NA,NA,NA,NA,NA,NA
"62934","AHwZBYCwxPY","",NA,NA,NA,NA,NA,NA
"62935","AI70lqDKwzU","",NA,NA,NA,NA,NA,NA
"62936","AI9z2jiYJzE","C",NA,NA,NA,NA,NA,NA
"62938","AIAeR-yUIQg","",NA,NA,NA,NA,NA,NA
"62939","AIHv018KMgE","",246,416,"negative","LAW_AND_ORDER","anger","society"
"62940","AIST6pOM_-Q","LC",25,35,"negative","INSTITUTIONS","anger","politics"
"62943","AIYPu4MFLl4","LC",165,72,"positive","ECONOMY","surprise","economy"
"62954","AIZ-K-DGed0","",10,10,"positive","CULTURE","joy","society"
"62955","AIZAwA3niYs","",NA,NA,NA,NA,NA,NA
"62956","AJ-GqrSRcyY","",145,55,"positive","ENVIRONMENT","disgust","diplomacy"
"62960","AJ0-VeWMr-A","",NA,NA,NA,NA,NA,NA
"62961","AJ1V00eut3s","",NA,NA,NA,NA,NA,NA
"62962","AJ38l6DX4f8","",NA,NA,NA,NA,NA,NA
"62964","AJBfnmbFQfc","LC",NA,NA,NA,NA,NA,NA
"62968","AJKYEDn-cys","LC",NA,NA,NA,NA,NA,NA
"62971","AJKw61jn69Q","",356,164,"positive","ECONOMY","trust","economy"
"62973","AJOUGB2797k","",113,32,"positive","RURAL","disgust","diplomacy"
"62974","AJVaTpMdTMk","L",15,12,"positive","LAW_AND_ORDER","negative","economy"
"62983","AJXiiwyxwE0","",30,1,"positive","VALUES","positive","economy"
"62985","AJYqZ_gVP-I","",NA,NA,NA,NA,NA,NA
"62986","AJcz3_sQPco","",NA,NA,NA,NA,NA,NA
"62987","AJjtDYj_9DQ","L",19,2,"positive","ECONOMY","positive","politics"
"62989","AJm8PeWkiEU","LC",150,137,"positive","ENVIRONMENT","disgust","diplomacy"
"63114","AJrTO76A4sk","",NA,NA,NA,NA,NA,NA
"63115","AJt2mhwUlq4","",NA,NA,NA,NA,NA,NA
"63116","AJvH53t-3aQ","",NA,NA,NA,NA,NA,NA
"63117","AJx_LxfsNg4","",NA,NA,NA,NA,NA,NA
"63118","AK0NoZf51t4","LC",NA,NA,NA,NA,NA,NA
"63127","AK0j21nmlN4","L",NA,NA,NA,NA,NA,NA
"63129","AKCNfsYvvgE","L",82,14,"positive","GROUPS","joy","military"
"63136","AKKlzbgQStE","",766,333,"positive","URBAN","anger","diplomacy"
"63137","AKOxeGwvshY","",NA,NA,NA,NA,NA,NA
"63139","AKTyPgwfPgg","",540,278,"positive","VALUES","sadness","society"
"63141","AKe9OqxBb9Q","",511,326,"positive","VALUES","positive","economy"
"63151","AKim7q5KF8s","",NA,NA,NA,NA,NA,NA
"63152","AKtpYBbB82g","",62,12,"positive","ECONOMY","joy","society"
"63158","AKxvctgMxG0","",176,72,"positive","CULTURE","joy","economy"
"63164","AKy6Jx59fis","",NA,NA,NA,NA,NA,NA
"63165","AKzM9R21LZc","LC",NA,NA,NA,NA,NA,NA
"63167","AL-CXLy4PyU","",NA,NA,NA,NA,NA,NA
"63174","AL-vuY27grY","",374,319,"positive","INSTITUTIONS","trust","economy"
"63177","AL5g-AY3l2E","",NA,NA,NA,NA,NA,NA
"63183","ALBwaO-rAsE","",NA,NA,NA,NA,NA,NA
"63184","ALEH3SYX1V4","",375,138,"positive","ECONOMY","sadness","politics"
"63185","ALIvrsJVSFs","",134,50,"positive","CULTURE","surprise","economy"
"63186","ALKJ19Kk5z0","",152,24,"positive","RURAL","anticipation","military"
"63187","ALO06t07fso","",108,23,"positive","CULTURE","joy","economy"
"63188","ALUsZrMSnaU","LC",13,4,"positive","CULTURE","sadness","economy"
"63189","ALXA3O6mHqY","",NA,NA,NA,NA,NA,NA
"63191","ALZHF5UqnU4","",NA,NA,NA,NA,NA,NA
"63192","AL_3OsEsnQc","",NA,NA,NA,NA,NA,NA
"63196","ALcP1o2EUio","",NA,NA,NA,NA,NA,NA
"63197","ALdpUXlWNhE","",109,153,"negative","CULTURE","negative","economy"
"63198","ALfxXieoKRo","",80,35,"positive","CULTURE","anticipation","society"
"63199","ALltjppRjWE","",11,4,"positive","CULTURE","joy","society"
"63204","ALtfQVbHtM0","",44,41,"positive","RURAL","disgust","diplomacy"
"63205","ALwDAKmSQAA","",NA,NA,NA,NA,NA,NA
"63206","ALxaEJ1BQYs","",262,200,"positive","CULTURE","joy","society"
"63207","AM1te1q2yqE","R",62,79,"negative","ECONOMY","trust","politics"
"63242","AM3gSgvN2Fw","",NA,NA,NA,NA,NA,NA
"63243","AM5-Ihrztc4","",235,189,"positive","LAW_AND_ORDER","fear","politics"
"63246","AM8f-kQ3PVw","",451,178,"positive","ECONOMY","anticipation","politics"
"63260","AMA2B0chPSM","LC",45,16,"positive","VALUES","negative","military"
"63271","AMKPEuuZaA8","",NA,NA,NA,NA,NA,NA
"63272","AMN25zctJMg","",NA,NA,NA,NA,NA,NA
"63275","AMPUMvf-iHA","L",73,38,"positive","ECONOMY","trust","politics"
"63276","AMQp0vTR2k0","LC",10,12,"negative","INSTITUTIONS","trust","society"
"63278","AMWyQ0KQU7M","LC",NA,NA,NA,NA,NA,NA
"63282","AMYpcegvt50","",NA,NA,NA,NA,NA,NA
"63285","AMaRFpYY88s","LC",NA,NA,NA,NA,NA,NA
"63287","AMi0FgLvz0Q","",NA,NA,NA,NA,NA,NA
"63288","AMpw6v-PDdU","",NA,NA,NA,NA,NA,NA
"63289","AMxYrB8YgBE","",NA,NA,NA,NA,NA,NA
"63290","AN621IUQazY","",NA,NA,NA,NA,NA,NA
"63291","ANJr-_-ZzNA","",604,185,"positive","URBAN","joy","society"
"63292","ANPSz97Olkg","",60,27,"positive","ECONOMY","positive","politics"
"63293","ANYO-jpxess","",1210,643,"positive","VALUES","positive","politics"
"63295","ANZ60K3h2ow","",NA,NA,NA,NA,NA,NA
"63299","AN_z8OeBjE8","L",10,23,"negative","INSTITUTIONS","trust","politics"
"63302","ANaPcklcOLE","",NA,NA,NA,NA,NA,NA
"63303","ANbhxA4xJ3g","LC",83,23,"positive","VALUES","negative","politics"
"63304","ANcMiKyafhI","",79,48,"positive","LAW_AND_ORDER","negative","military"
"63305","ANe3BFXGwRM","",130,36,"positive","GROUPS","joy","society"
